Maximum of Subsidiary Legal Name,Maximum of Name,Document Number,Date,Maximum of Due Date/Receive By,Period,Type,Maximum of Department,Maximum of Amount,Maximum of Amount Paid,Status,Maximum of Memo (Main),Maximum of Date Closed
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",161353,1/27/2026,1/27/2026,Jan 2026,Bill,Development : Engineering : Engineering Procore,"26,667.50 ","26,667.50 ",Paid In Full,DM Electrical HV design for PowerCo - Service through 1/23/2026,2/4/2026
"Nexus Apex Holdings, LLC","FLYGUYS, INC.",21641,1/27/2026,2/26/2026,Jan 2026,Bill,Development : Site Services : Site Services Gen,"23,650.00 ","23,650.00 ",Paid In Full,DM Drone Mission LiDAR- JOB ID 106887,3/2/2026
"Nexus Hubbard Power, LLC",Everllence USA INC,6803498,1/27/2026,2/11/2026,Jan 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"485,303.40 ","485,303.40 ",Paid In Full,DM Change Order No. 001 - additional scope of supply-exhausted gas compensators,2/10/2026
"Nexus Hubbard Power, LLC",Everllence USA INC,6803499,1/27/2026,2/11/2026,Jan 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"7,487,377.90 ","7,487,377.90 ",Paid In Full,"DM 5306589- Nexus Data Center Hubbard TX -Project Apex Phase 2 -""5% (five percent) of the Scope of Supply Price and Site Activities Price shall be payable by telegraphic bank transfer upon receipt of an applicable invoice which shall be submitted such that payment shall become due 2 (two) months after Effective Date""",2/5/2026
"Nexus Data Centers, LLC",Arcus Advisors LLC,3199,1/28/2026,1/29/2026,Jan 2026,Bill,Corporate : Accounting,"23,098.75 ","23,098.75 ",Paid In Full,DM Accounting advisory / systems - 1/11/2026-1/24/2026 - Jan 11 - Jan 24 2026,2/20/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,24896,1/29/2026,1/29/2026,Jan 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"4,274,724.27 ","4,274,724.27 ",Paid In Full,DM 10% PROGRESS PAYMENT FOR HB1 DH1-4 TXS,2/2/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,24897,1/29/2026,2/28/2026,Jan 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"11,361,843.25 ","11,361,843.25 ",Paid In Full,DM 10% PROGRESS PAYMENT FOR HB1 DH1-4 MV SWITVHGEAR,2/2/2026
"Nexus Land Holdings, LLC",Sheryl Lorraine Salley,100,1/30/2026,2/13/2026,Jan 2026,Bill,Infrastructure : Site Services - Infra,"7,500.00 ","7,500.00 ",Paid In Full,DM Site Service Consultant - Jan 2026 retainer,2/17/2026
"Nexus Land Holdings, LLC",Sheryl Lorraine Salley,101,1/30/2026,2/13/2026,Jan 2026,Bill,Infrastructure : Site Services - Infra,809.77 ,809.77 ,Paid In Full,DM Site Service Consultant ( travel expenses) - Jan 2026,2/17/2026
"Nexus Data Centers, LLC",Hollee Mize,Jan-26,1/30/2026,2/14/2026,Jan 2026,Bill,Corporate : Workforce,"24,750.00 ","24,750.00 ",Paid In Full,"DM Consulting services - staffing, benefits, salaries, etc. - 1/5/2026-1/30/2026",2/13/2026
"Nexus Data Centers, LLC",Hollee Mize,January expenses,1/30/2026,2/14/2026,Jan 2026,Bill,Corporate : Workforce,262.45 ,262.45 ,Paid In Full,DM Mileage to Hubbard  - 46034,2/13/2026
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",1113,1/31/2026,3/2/2026,Jan 2026,Bill,Infrastructure : Legal - Infra,"18,810.00 ","18,810.00 ",Paid In Full,DM Jan 2026 legal services  - Jan 2026,3/2/2026
"Nexus Apex Holdings, LLC",CI Mission Critical LLC,500.60.25152.000-3,1/31/2026,2/15/2026,Jan 2026,Bill,Development : Engineering : Engineering Gen,"2,200.00 ","2,200.00 ",Paid In Full,"DM Detailed Design - Architectual, MEP Master Planning - Through 1/31/2026",3/11/2026
"Nexus Data Centers, LLC",Regus Corporation,7970-1072,2/1/2026,2/15/2026,Feb 2026,Bill,Corporate : HQ / Office,"15,736.22 ","15,736.22 ",Paid In Full,"DM Mar office space, IT services for Jan, Jan meeting room, and Ketich amenities for Jan",2/17/2026
"Nexus Land Holdings, LLC",ONPOINT Transactions LLC,3592,2/2/2026,2/2/2026,Feb 2026,Bill,Infrastructure : Acquisition costs - Infra,"3,000.00 ","3,000.00 ",Paid In Full,DM Nexus - Jan 2026 - Jan 2026,2/6/2026
"Nexus Hubbard Power, LLC",W.G. Yates & Sons Construction Company,2060126-01,2/3/2026,2/23/2026,Feb 2026,Bill,Development : Construction : Construction Procore,"277,803.33 ","277,803.33 ",Paid In Full,DM Pre-con Hubbard Data Center/Nexus/Waco TX - PowerCo initial work - January 2026,2/18/2026
"Nexus Land Holdings, LLC",TXU Energy (AutoPay),54029623570,2/3/2026,2/19/2026,Feb 2026,Bill,Infrastructure : Utilities - Infra,37.79 ,37.79 ,Paid In Full,DM 1/07/2026- 1/29/2026 351meters,2/5/2026
"Nexus Data Centers, LLC",Kirkland & Ellis LLP,102037090,2/4/2026,2/4/2026,Feb 2026,Bill,Corporate : Legal,"174,338.75 ","174,338.75 ",Paid In Full,DM Transactional services and expenses through  Jan 2026 - January 2026,3/12/2026
"Nexus Apex Holdings, LLC",Tellepsen Builders LP,49601,2/4/2026,2/6/2026,Feb 2026,Bill,Development : Construction : Construction Procore,"75,000.00 ","75,000.00 ",Paid In Full,DM 225184 Next Hubbard Data Center,2/6/2026
"Nexus Hubbard Power, LLC",Primoris Energy Service Corporation,50259-04,2/4/2026,3/6/2026,Feb 2026,Bill,Development : Construction : Construction Procore,"5,067.15 ","5,067.15 ",Paid In Full,DM Equipment rentals,3/12/2026
"Nexus Hubbard Power, LLC",Primoris Energy Service Corporation,50259001-2,2/4/2026,3/6/2026,Feb 2026,Bill,Development : Construction : Construction Procore,"1,620,665.95 ","1,620,665.95 ",Paid In Full,"DM Labor, materials, equipment for Nexus Hubbard Power LS - Period Ending 1/25/2026",3/10/2026
"Nexus Data Centers, LLC",Datasite LLC,INV-890920,2/5/2026,3/7/2026,Feb 2026,Bill,Corporate : Finance,"16,964.89 ","16,964.89 ",Paid In Full,DM January pages processed - Apex Equity - January 2026,3/11/2026
"Nexus Data Centers, LLC",Datasite LLC,INV-893033,2/5/2026,3/7/2026,Feb 2026,Bill,Corporate : Finance,"9,241.23 ","9,241.23 ",Paid In Full,DM January pages processed - Apex  - January 2026,3/11/2026
Nexus Data Centers Hubbard LLC,"HDR Engineering, Inc.",1200800245,2/6/2026,3/8/2026,Mar 2026,Bill,Development : Engineering : Engineering Procore,"247,695.57 ","247,695.57 ",Paid In Full,DFW Campus Planning Dec 28 to Jan 2026 - changed date for clean historical load,4/22/2026
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",161400,2/6/2026,2/6/2026,Feb 2026,Bill,Development : Engineering : Engineering Procore,"57,010.81 ","57,010.81 ",Paid In Full,DM PowerCo MV Design - January 2026,2/17/2026
"Nexus Data Centers, LLC",Datamation Technologies,4778,2/6/2026,2/16/2026,Feb 2026,Bill,Corporate : IT : Services / License,"2,174.74 ","2,174.74 ",Paid In Full,DM Dell pro laptop for new employee user,2/20/2026
"Nexus Hubbard Power, LLC","Industrial Project Innovation, LLC",Nexus-006,2/6/2026,3/8/2026,Feb 2026,Bill,Development : Project Management : Project Management Procore,"194,431.45 ","194,431.45 ",Paid In Full,"DM Labor, software recovery fee, reimbursable expenses - January 2026",3/17/2026
"Nexus Apex Holdings, LLC","Terracon Consultants, Inc.",TQ26234,2/6/2026,3/8/2026,Feb 2026,Bill,Development : Engineering : Engineering Procore,"3,350.00 ","3,350.00 ",Paid In Full,DM Project#HY261000- service through 1/31/2026 - Service through 1/31/2026,3/18/2026
"Nexus Data Centers, LLC",Hollee Mize,Feb-26,2/8/2026,2/23/2026,Feb 2026,Bill,Corporate : Workforce,"7,625.00 ","7,625.00 ",Paid In Full,"DM Consulting services - staffing, benefits, salaries, etc. - February 2026",2/23/2026
"Nexus Data Centers, LLC",Abdellah Kettani,Inv KTS 2/8/26,2/8/2026,2/8/2026,Feb 2026,Bill,Corporate : Corporate,130.00 ,130.00 ,Paid In Full,DM Transportation - Ivan Car Service,3/4/2026
"Nexus Apex Holdings, LLC",SLR international corporation,10023403,2/9/2026,2/9/2026,Feb 2026,Bill,Development : Regulatory : Regulatory Procore,"56,844.41 ","56,844.41 ",Paid In Full,DM Nexus PSD air permitting - various activities on invoices - January 2026,2/10/2026
Nexus Data Centers Hubbard LLC,"HDR Engineering, Inc.",1200800265,2/9/2026,3/11/2026,Mar 2026,Bill,Development : Engineering : Engineering Procore,"459,620.60 ","459,620.60 ",Paid In Full,"Amendment # 1 for Engineering Services - date is wrong put March 1, 2026",4/22/2026
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",161876,2/9/2026,2/9/2026,Feb 2026,Bill,Development : Engineering : Engineering Procore,"36,513.75 ","36,513.75 ",Paid In Full,DM Professional Service -Jan 2026-RAL-25014377-A0 - January 2026,2/10/2026
"Nexus Data Centers, LLC",Holland & Knight LLP,33866678,2/9/2026,2/9/2026,Feb 2026,Bill,Corporate : Legal,"6,051.00 ","6,051.00 ",Paid In Full,DM Profession services through Jan 31 2026- Tenant Lease Anthropic - January 2026,3/27/2026
"Nexus Data Centers, LLC",Arcus Advisors LLC,3225,2/10/2026,2/10/2026,Feb 2026,Bill,Corporate : Accounting,"33,670.00 ","33,670.00 ",Paid In Full,DM Accounting advisory / systems - 1/25/2026-02/07/2026 - Jan 25-Feb 07 2026,3/4/2026
"Nexus Apex Holdings, LLC",Dorsey + Whitney LLP,4154328,2/10/2026,3/10/2026,Feb 2026,Bill,Corporate : Legal,"2,815.00 ","2,815.00 ",Paid In Full,DM Legal services rendered through 02/10/2026,3/17/2026
"Nexus Hubbard Power, LLC",Honeywell International Inc.,5272208342,2/12/2026,3/14/2026,Feb 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"654,107.67 ","654,107.67 ",Paid In Full,DM Battery Energy Storage - Initial PO payment,2/20/2026
"Nexus Land Holdings, LLC",Champion Energy Services,260440026564413,2/13/2026,3/2/2026,Feb 2026,Bill,Infrastructure : Utilities - Infra,755.79 ,755.79 ,Paid In Full,DM 1/13/2026-2/12/2-26,3/3/2026
"Nexus Data Centers, LLC","Braintek, LLC",45213,2/13/2026,2/28/2026,Feb 2026,Bill,Corporate : IT : Services / License,"20,244.32 ","20,244.32 ",Paid In Full,DM Early Cancellation Fee & remaining SaaS amounts - Early contract cancellation fee,2/25/2026
"Nexus Land Holdings, LLC",Serna Serrvices,8573,2/14/2026,2/14/2026,Feb 2026,Bill,Infrastructure : Site Services - Infra,150.00 ,150.00 ,Paid In Full,DM Repairs - A/C - HUB 10 specific  - Feb 2026,2/25/2026
"Nexus Apex Holdings, LLC",Used Frac Tanks Inc.,46069,2/16/2026,2/20/2026,Feb 2026,Bill,Development : Asset Procurement : Asset Procurement Gen,"90,900.00 ","90,900.00 ",Paid In Full,DM Refurbished Flat Top Frac Tank - 3 - in service 2-16-26,2/20/2026
"Nexus Apex Holdings, LLC",PRAIRIELANDS GROUNDWATER CONSERVATION DISTRICT,2026-0090,2/17/2026,2/28/2026,Feb 2026,Bill,Development : Utilities : Utilities Gen,"1,487.78 ","1,487.78 ",Paid In Full,DM Well Registration PGCD-003626 - Usage fees & filing fees - Q1 2026,3/2/2026
"Nexus Data Centers, LLC",Datamation Technologies,4779,2/17/2026,2/27/2026,Feb 2026,Bill,Corporate : IT : Services / License,"11,309.96 ","11,309.96 ",Paid In Full,DM 5 dell laptops and support,3/2/2026
"Nexus Data Centers, LLC",Datamation Technologies,4780,2/17/2026,2/27/2026,Feb 2026,Bill,Corporate : IT : Services / License,"2,284.62 ","2,284.62 ",Paid In Full,"DM Monitors, wired keyboard, camera",3/2/2026
"Nexus Data Centers, LLC",PwC US Tax LLP,208A117095,2/18/2026,3/20/2026,Feb 2026,Bill,Corporate : Accounting,"11,638.00 ","11,638.00 ",Paid In Full,DM Jan 2026 tax consulting services  - January 2026,3/24/2026
"Nexus Land Holdings, LLC",Champion Energy Services,260500026598877,2/18/2026,3/9/2026,Feb 2026,Bill,Infrastructure : Utilities - Infra,299.23 ,299.23 ,Paid In Full,DM 1/20/2026-2/18/2026,3/10/2026
"Nexus Data Centers, LLC",Abdellah Kettani,Inv KTS 2/18/26,2/18/2026,2/18/2026,Feb 2026,Bill,Corporate : Corporate,110.00 ,110.00 ,Paid In Full,DM Transportation - Ivan Car Service,3/4/2026
"Nexus Apex Holdings, LLC",Tinsley Drilling & Company Inc,169-26,2/19/2026,3/21/2026,Feb 2026,Bill,Development : Construction : Construction Procore,"410,287.00 ","410,287.00 ",Paid In Full,"DM Down Payment - Mobilization, 1/2 payment Stainless Slot Screen, 1/2 payment 100HP Yaskawa VFD",3/10/2026
"Nexus Land Holdings, LLC",TXU Energy (AutoPay),55428780693,2/19/2026,3/9/2026,Feb 2026,Bill,Infrastructure : Utilities - Infra,388.31 ,388.31 ,Paid In Full,DM Service Period 1/20/2026- 2/17/2026-9001012067,3/5/2026
"Nexus Land Holdings, LLC",TXU Energy (AutoPay),55828617113,2/19/2026,3/9/2026,Feb 2026,Bill,Infrastructure : Utilities - Infra,303.42 ,303.42 ,Paid In Full,DM Service Period 1/20/2026- 2/17/2026,3/5/2026
"Nexus Apex Holdings, LLC",Michels Construction inc,21265101,2/20/2026,2/20/2026,Feb 2026,Bill,Development : Fiber : Fiber Procore,"75,450.00 ","75,450.00 ",Paid In Full,DM Fiber Carrier Engagement & OSP Fiber Network  Design to Project Apex-TX - Period to 2/15,3/17/2026
"Nexus Land Holdings, LLC",TXU Energy (AutoPay),54728908244,2/20/2026,3/9/2026,Feb 2026,Bill,Infrastructure : Utilities - Infra,565.65 ,565.65 ,Paid In Full,DM Service Period 1/29/2026-2/17/2026- 900082370175 - Feb 2026,3/5/2026
"Nexus Data Centers, LLC",Abdellah Kettani,Inv KTS 2/20/26,2/20/2026,2/20/2026,Feb 2026,Bill,Corporate : Corporate,130.00 ,130.00 ,Paid In Full,DM Transportation - Ivan Car Service,3/4/2026
"Nexus Data Centers, LLC",Abdellah Kettani,Inv KTS 2/22/26,2/22/2026,2/22/2026,Feb 2026,Bill,Corporate : Corporate,130.00 ,130.00 ,Paid In Full,DM Transportation - Ivan Car Service,3/4/2026
"Nexus Data Centers, LLC",Butler Snow LLP,10514812,2/23/2026,2/23/2026,Feb 2026,Bill,Corporate : Legal,"11,050.00 ","11,050.00 ",Paid In Full,DM Hubbard project - Service Rendered Through Jan 31 2026 _ Dec 2025 & Jan time - Dec 2025 & Jan 2026,3/27/2026
"Nexus Hubbard Power, LLC",W.G. Yates & Sons Construction Company,2060126-02,2/23/2026,3/25/2026,Feb 2026,Bill,Development : Construction : Construction Procore,"317,113.90 ","317,113.90 ",Paid In Full,"DM Labor, IDOM subcontract, rental equipment, and lodging - Februray 2026",3/10/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,25137,2/23/2026,3/25/2026,Feb 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"21,373,621.33 ","21,373,621.33 ",Paid In Full,DM 50% Progress payent for HB1 DH1-4 TXS - 50% Progress payment,3/25/2026
Nexus Data Centers Hubbard LLC,W.G. Yates & Sons Construction Company,PC-02,2/23/2026,3/10/2026,Feb 2026,Bill,Development : Construction : Construction Procore,"172,235.79 ","172,235.79 ",Paid In Full,"DM DataCo - preconstruction, reimbursables, equipment - 1/25/26 - 2/15/26",3/27/2026
"Nexus Hubbard Power, LLC",Honeywell International Inc.,5272299716,2/24/2026,3/26/2026,Feb 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"9,448,221.90 ","9,448,221.90 ",Paid In Full,DM Submittal of BESS Architecture Draw- 30% payment,3/26/2026
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",162305,2/25/2026,2/25/2026,Feb 2026,Bill,Development : Engineering : Engineering Procore,"20,942.25 ","20,942.25 ",Paid In Full,DM Professional Service -Jan 31 2026 to Feb 13 2026 -RAL-25014377-A0,3/11/2026
"Nexus Data Centers, LLC",Oracle NetSuite,2417985,2/25/2026,3/25/2026,Feb 2026,Bill,Corporate : IT : Services / License,"14,913.33 ","14,913.33 ",Paid In Full,"DM NS Cloud Service/User, Implementation Services",3/24/2026
"Nexus Data Centers, LLC",Arcus Advisors LLC,3245,2/25/2026,2/25/2026,Feb 2026,Bill,Corporate : Accounting,"37,777.50 ","37,777.50 ",Paid In Full,DM Accounting advisory / systems - 02/08/2026 to 2/21/2026 - Feb 08 2026-Feb 21 2026,3/27/2026
Nexus Data Centers Hubbard LLC,EUTAW Construction Company Inc.,26011-01 (REVISED),2/26/2026,3/28/2026,Feb 2026,Bill,Development : Construction : Construction Procore,"6,555,236.25 ","6,555,236.25 ",Paid In Full,DM Work completed through 1/31/2026 - January 2026,3/3/2026
"Nexus Land Holdings, LLC",City of Hubbard,Inv CoH 2/26/26,2/26/2026,3/16/2026,Feb 2026,Bill,Corporate : Corporate,319.21 ,319.21 ,Paid In Full,DM 1/22/2026-2/26/2026- Acct#05-1610-03,3/17/2026
"Nexus Apex Holdings, LLC","EXP Energy Services, Inc.",1202616,2/27/2026,3/27/2026,Feb 2026,Bill,Development : Regulatory : Regulatory Procore,"6,405.25 ","6,405.25 ",Paid In Full,"DM Professional Services Rendered from December 27,2025- January 30 2026 Project HOU-25007091-00",3/18/2026
"Nexus Data Centers, LLC","GeoTel Communications, LLC",26-0221,2/27/2026,3/29/2026,Mar 2026,Bill,Corporate : Business development,"5,575.00 ","5,575.00 ",Paid In Full,changed date to march 1 for historical load,4/8/2026
"Nexus Land Holdings, LLC",ONPOINT Transactions LLC,3656,2/27/2026,2/27/2026,Feb 2026,Bill,Infrastructure : Acquisition costs - Infra,"4,500.00 ","4,500.00 ",Paid In Full,"DM Nexus-Feb 2026 Monthly Maintennace (2), Open Order (7) - Feb 2026",3/10/2026
"Nexus Land Holdings, LLC",American Craftsmen,N/A - see proposal,2/27/2026,2/27/2026,Feb 2026,Bill,Infrastructure : Residential Improvements - Infra,"23,632.76 ","23,632.76 ",Paid In Full,DM 25% payment for halfway point- Nexus HUB 10 rehab - Halfway point,2/27/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,25225,2/28/2026,3/30/2026,Feb 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"56,809,216.23 ","56,809,216.23 ",Paid In Full,DM 50% Progress payment for HB1 DH1-4 Switchgear - 50% Progress payment,3/27/2026
"Nexus Data Centers, LLC","Netgain Solutions, Inc.",#INV12420,3/1/2026,4/1/2026,Mar 2026,Bill,Corporate : Accounting,"1,212.58 ","1,212.58 ",Paid In Full,01/01/26 - 12/31/26,4/8/2026
"Nexus Data Centers, LLC",Regus Corporation,7970-1181,3/1/2026,3/15/2026,Mar 2026,Bill,Corporate : HQ / Office,"14,628.68 ","14,628.68 ",Paid In Full,"DM Apr office space ,  Feb IT & Meeting Room Kitchen Security Access",3/16/2026
"Nexus Hubbard Power, LLC",NAES Corporation,NAES-IN0000033718,3/1/2026,3/31/2026,Mar 2026,Bill,Operations : O&M : O&M Procore,"3,641.00 ","3,641.00 ",Paid In Full,,5/15/2026
"Nexus Data Centers, LLC","May Business Co, LLC",02-1002,3/2/2026,3/16/2026,Mar 2026,Bill,Corporate : Workforce,"3,500.00 ","3,500.00 ",Paid In Full,DM Monthly Fee for service in March - March 2026,3/24/2026
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",1130,3/2/2026,4/1/2026,Mar 2026,Bill,Infrastructure : Legal - Infra,"27,460.00 ","27,460.00 ",Paid In Full,DM Feb 2026 legal services  - Feb 2026,3/24/2026
"Nexus Hubbard Power, LLC",Primoris Energy Service Corporation,43427- 01,3/2/2026,4/1/2026,Mar 2026,Bill,Development : Construction : Construction Procore,"600,000.00 ","600,000.00 ",Paid In Full,LNTP - EPC 43427,4/9/2026
"Nexus Hubbard Power, LLC",Primoris Energy Service Corporation,50259001-3,3/2/2026,4/1/2026,Mar 2026,Bill,Development : Construction : Construction Procore,"1,514,401.65 ","1,514,401.65 ",Paid In Full,"DM Labor, materials, equipment for Nexus Hubbard Power LS - February 2026",3/27/2026
"Nexus Data Centers, LLC",wework,202600000618,3/3/2026,3/3/2026,Mar 2026,Bill,Corporate : HQ / Office,"22,844.00 ","22,844.00 ",Paid In Full,DM Member Service Retainer,3/3/2026
"Nexus Land Holdings, LLC",American Craftsmen,2246,3/3/2026,3/3/2026,Mar 2026,Bill,Infrastructure : Residential Improvements - Infra,"4,754.53 ","4,754.53 ",Paid In Full,DM labors and materials to relocate electrical meter - HUB 01 work - February 2026,3/10/2026
"Nexus Land Holdings, LLC",American Craftsmen,2246 (FINAL),3/3/2026,3/3/2026,Mar 2026,Bill,Infrastructure : Residential Improvements - Infra,"30,927.53 ","30,927.53 ",Paid In Full,DM Renovation of property 880 State Highway 171 HUB 01 office - Milestone payments for rehab - total time est. 75 days,3/24/2026
"Nexus Land Holdings, LLC",TXU Energy (AutoPay),55553757829,3/3/2026,3/19/2026,Mar 2026,Bill,Infrastructure : Utilities - Infra,28.64 ,28.64 ,Paid In Full,DM Service Period 1/30/2026-3/1/2026-900081609664,3/16/2026
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",162935,3/4/2026,3/4/2026,Mar 2026,Bill,Development : Engineering : Engineering Procore,"8,187.33 ","8,187.33 ",Paid In Full,"Professional Services from February 14, 2026 to February 27, 2026",4/22/2026
"Nexus Land Holdings, LLC",Sheryl Lorraine Salley,200,3/4/2026,3/19/2026,Mar 2026,Bill,Infrastructure : Site Services - Infra,"7,500.00 ","7,500.00 ",Paid In Full,DM Site Service Consultant - Feb 2026,3/24/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,25278,3/4/2026,4/3/2026,Mar 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"11,720,400.00 ","11,720,400.00 ",Paid In Full,DM Progress Payment 30% (Start Manufacturing) - HB1 DH1-4 Busway,3/27/2026
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",162502,3/5/2026,4/5/2026,Mar 2026,Bill,Development : Engineering : Engineering Procore,"56,155.26 ","56,155.26 ",Paid In Full,Feb 2026 professional services,5/15/2026
"Nexus Data Centers, LLC",Datasite LLC,INV-904634,3/5/2026,4/4/2026,Mar 2026,Bill,Corporate : Finance,"4,709.02 ","4,709.02 ",Paid In Full,DM Feb Pages processed - February 2026,3/17/2026
Nexus Data Centers Hubbard LLC,"HDR Engineering, Inc.",1200808006,3/6/2026,4/6/2026,Mar 2026,Bill,Development : Engineering : Engineering Procore,"208,109.94 ","208,109.94 ",Paid In Full,,5/8/2026
"Nexus Data Centers, LLC","BMP Partners, Inc",3001705,3/6/2026,4/5/2026,Mar 2026,Bill,Corporate : Marketing / Branding,"2,377.25 ","2,377.25 ",Paid In Full,Nexus Pens,6/26/2026
"Nexus Data Centers, LLC",Datamation Technologies,4782,3/6/2026,3/16/2026,Mar 2026,Bill,Corporate : IT : Services / License,"12,406.25 ","12,406.25 ",Paid In Full,"Managed IT Services (M365, General IT, Project Services)",4/8/2026
"Nexus Land Holdings, LLC",Frontier Waste Solutions,FW03062026-1,3/6/2026,3/6/2026,Mar 2026,Bill,Infrastructure : Utilities - Infra,168.13 ,168.13 ,Paid In Full,DM - missing inv #,3/6/2026
"Nexus Land Holdings, LLC",Frontier Waste Solutions,FW03062026-2,3/6/2026,3/6/2026,Mar 2026,Bill,Infrastructure : Utilities - Infra,168.13 ,168.13 ,Paid In Full,DM - missing inv #,3/6/2026
Nexus Data Centers Hubbard LLC,CorePhase Enterprises LLC,2025-NEX-001-002,3/7/2026,3/22/2026,Mar 2026,Bill,Development : Project Management : Project Management Procore,"258,280.57 ","258,280.57 ",Paid In Full,DM PM services 12/27/25 to 1/30/26 - End Dec & Jan 2026,3/10/2026
"Nexus Apex Holdings, LLC",SLR international corporation,10024347,3/9/2026,3/9/2026,Mar 2026,Bill,Development : Engineering : Engineering Procore,"103,913.86 ","103,913.86 ",Paid In Full,Air Permitting,5/27/2026
"Nexus Apex Holdings, LLC",PRAIRIELANDS GROUNDWATER CONSERVATION DISTRICT,2026-0136,3/9/2026,3/9/2026,Mar 2026,Bill,Development : Utilities : Utilities Gen,145.00 ,145.00 ,Paid In Full,DM Filing fees for well registration,3/10/2026
"Nexus Apex Holdings, LLC",Post Oak Special Utility District,338,3/9/2026,3/9/2026,Mar 2026,Bill,Infrastructure : Utilities - Infra,"37,500.00 ","37,500.00 ",Paid In Full,DM Install New Meter Service-Austin Street/Greenwood Estates,3/10/2026
"Nexus Data Centers, LLC",Datamation Technologies,4784,3/9/2026,3/19/2026,Mar 2026,Bill,Corporate : IT : Assets,"2,349.03 ","2,349.03 ",Paid In Full,Hardware purchases,4/8/2026
"Nexus Data Centers, LLC",Datamation Technologies,4785,3/9/2026,3/19/2026,Mar 2026,Bill,Corporate : IT : Assets,"2,120.73 ","2,120.73 ",Paid In Full,Hardware purchases,4/8/2026
Nexus Data Centers Hubbard LLC,CorePhase Enterprises LLC,2025-NEX-001-003,3/10/2026,4/10/2026,Mar 2026,Bill,Development : Project Management : Project Management Procore,"290,143.35 ","290,143.35 ",Paid In Full,DM SOW # 2025-NEX-001 included in Annex 3 of the MASTER SERVICES AGREEMENT,4/10/2026
"Nexus Land Holdings, LLC",Brian Stroud,818811,3/10/2026,3/10/2026,Mar 2026,Bill,Infrastructure : Site Services - Infra,"1,678.17 ","1,678.17 ",Paid In Full,DM King House,3/13/2026
"Nexus Data Centers, LLC",Kirkland & Ellis LLP,1020037647,3/11/2026,3/11/2026,Mar 2026,Bill,Corporate : Legal,"35,467.50 ","35,467.50 ",Paid In Full,DM Transactional services and expenses through  Feb 2026 - Feb 2026,3/12/2026
"Nexus Data Centers, LLC",Arcus Advisors LLC,3270,3/11/2026,3/11/2026,Mar 2026,Bill,Corporate : Accounting,"32,680.00 ","32,680.00 ",Paid In Full,,5/4/2026
"Nexus Land Holdings, LLC",Brian Stroud,818812,3/11/2026,3/11/2026,Mar 2026,Bill,Infrastructure : Site Services - Infra,816.53 ,816.53 ,Paid In Full,,4/13/2026
"Nexus Data Centers, LLC","LinkSquares, Inc.",INV12451,3/11/2026,5/10/2026,Mar 2026,Bill,Corporate : Corporate,"18,593.32 ","18,593.32 ",Paid In Full,3/11/2026-9/10/2026,5/15/2026
"Nexus Data Centers, LLC",Butler Snow LLP,10518940,3/12/2026,3/12/2026,Mar 2026,Bill,Corporate : Legal,"2,817.00 ","2,817.00 ",Paid In Full,DM Hubbard project - Service Rendered Through Feb 28 2026 - Feb 2026,3/27/2026
Nexus Data Centers Hubbard LLC,EUTAW Construction Company Inc.,26011-02,3/12/2026,4/11/2026,Mar 2026,Bill,Development : Construction : Construction Procore,"24,861,242.33 ","24,861,242.33 ",Paid In Full,DM Work completed through 02/28/2026 - February 2026,3/12/2026
"Nexus Data Centers, LLC",Holland & Knight LLP,33895551,3/12/2026,3/12/2026,Mar 2026,Bill,Corporate : Legal,"2,937.00 ","2,937.00 ",Paid In Full,"DM Profession services through Feb 28,2026 - Feb 2026",3/27/2026
"Nexus Data Centers, LLC",Allision T Clark,061001,3/13/2026,4/12/2026,Mar 2026,Bill,Corporate : Marketing / Branding,"5,600.00 ","5,600.00 ",Paid In Full,,5/4/2026
"Nexus Apex Holdings, LLC",Liberty Mutual Insurance Company,11325639,3/13/2026,4/2/2026,Mar 2026,Bill,Development : Insurance,"281,000.00 ","281,000.00 ",Paid In Full,DM Worker Comp Deductible - manually fixed as originally loaded at TopCo a,3/26/2026
