Maximum of Subsidiary Legal Name,Maximum of Name,Document Number,Date,Maximum of Due Date/Receive By,Period,Type,Maximum of Department,Maximum of Amount,Maximum of Amount Paid,Status,Maximum of Memo (Main),Maximum of Date Closed
"Nexus Hubbard Power, LLC","Cureton Midstream II, LLC (WTG)",LNTP #2 — initial CIAC,3/18/2026,3/18/2026,Mar-26,Bill,Operations : Gas : Gas Gen,8188890,8188890,Paid In Full,LNTP #2 — initial CIAC,3/20/2026
"Nexus Hubbard Power, LLC","Industrial Project Innovation, LLC",Nexus-007,3/18/2026,4/17/2026,Mar-26,Bill,Development : Project Management : Project Management Procore,426547.02,426547.02,Paid In Full,PM Feb 2026,4/22/2026
"Nexus Land Holdings, LLC",Wisdom Cout LLC DBA American Craftsmen,N/A - see proposal,3/19/2026,3/19/2026,Mar-26,Bill,Infrastructure : Residential Improvements - Infra,11816.38,11816.38,Paid In Full,DM 25% payment for halfway point- Nexus HUB 10 rehab,3/24/2026
"Nexus Apex Holdings, LLC",PRAIRIELANDS GROUNDWATER CONSERVATION DISTRICT,2026-0246,3/20/2026,3/20/2026,Mar-26,Bill,Development : Utilities : Utilities Gen,6000,6000,Paid In Full,DM Water usage fees Q22026,3/24/2026
"Nexus Hubbard Power, LLC",Everllence USA INC,6803549,3/20/2026,4/4/2026,Mar-26,Bill,Development : Asset Procurement : Asset Procurement Procore,14974755.8,14974755.8,Paid In Full,DM 10% Milestone Payment for MAN enginges (11 units),3/27/2026
"Nexus Land Holdings, LLC",Brian Stroud,818816,3/20/2026,3/20/2026,Mar-26,Bill,Infrastructure : Site Services - Infra,2749.18,2749.18,Paid In Full,,4/13/2026
"Nexus Apex Holdings, LLC",Promoveo Group LLC,323,3/23/2026,3/23/2026,Mar-26,Bill,Development : Project Management : Project Management Gen,17850,17850,Paid In Full,"DM OR Planning Services - Baseline status meetings, planning sessions with COO/CDO & Naes, document review, revised master planning scope/schedule/estimate, MIC workshop framework",3/27/2026
"Nexus Data Centers, LLC","Ultera, llc",361,3/23/2026,4/7/2026,Mar-26,Bill,Corporate : Workforce,58000,58000,Paid In Full,DM Recruitment of Derek Morris,3/27/2026
"Nexus Land Holdings, LLC",TXU Energy (AutoPay),TXU03232026,3/23/2026,3/23/2026,Mar-26,Bill,Infrastructure : Utilities - Infra,102.64,102.64,Paid In Full,DM - Missing Inv,3/23/2026
"Nexus Land Holdings, LLC","Seismic Exchange, Inc.",P-02-197136-0,3/24/2026,3/24/2026,Mar-26,Bill,Infrastructure : Legal - Infra,68231.8,68231.8,Paid In Full,,4/6/2026
"Nexus Hubbard Power, LLC",Creatum Solar LLC,260325_001,3/25/2026,3/25/2026,Apr-26,Bill,Development : Asset Procurement : Asset Procurement Gen,253500,253500,Paid In Full,Professional Services Agreement (Jan 23 2026),4/22/2026
"Nexus Apex Holdings, LLC",michels construction inc,21265102,3/26/2026,3/26/2026,Mar-26,Bill,Development : Fiber : Fiber Procore,47928.75,47928.75,Paid In Full,Job 25215103 Fiber Carrier Engagement & OSP Fiber Network Design to Project Apex,5/4/2026
"Nexus Land Holdings, LLC",CT Hydroflo LLC,3248,3/26/2026,3/25/2026,Mar-26,Bill,Infrastructure : Utilities - Infra,37055,37055,Paid In Full,,4/15/2026
"Nexus Data Centers, LLC",Arcus Advisors LLC,3307,3/26/2026,3/26/2026,Mar-26,Bill,Corporate : Accounting,43070,43070,Paid In Full,March 8 to  21,5/4/2026
"Nexus Data Centers, LLC",Liberty Mutual Insurance Company,1202600,3/27/2026,4/26/2026,Mar-26,Bill,Corporate : Legal,2014794,2014794,Paid In Full,DM,3/27/2026
"Nexus Apex Holdings, LLC","EXP Energy Services, Inc.",2202613,3/27/2026,3/27/2026,Mar-26,Bill,Development : Regulatory : Regulatory Procore,5355.25,5355.25,Paid In Full,"January 31, 2026 - February 27, 2026",5/15/2026
Nexus Data Centers Hubbard LLC,W.G. Yates & Sons Construction Company,PC-03.1,3/27/2026,4/11/2026,Mar-26,Bill,Development : Construction : Construction Procore,435763.63,435763.63,Paid In Full,March services,5/11/2026
"Nexus Land Holdings, LLC",Wisdom Cout LLC DBA American Craftsmen,2256,3/30/2026,3/30/2026,Mar-26,Bill,Infrastructure : Residential Improvements - Infra,11814.18,11814.18,Paid In Full,Residential Improvements,4/14/2026
"Nexus Land Holdings, LLC",Wisdom Cout LLC DBA American Craftsmen,2261,3/30/2026,3/30/2026,Mar-26,Bill,Infrastructure : Residential Improvements - Infra,8551.99,8551.99,Paid In Full,Residential Improvements - 50% Draw,4/14/2026
"Nexus Land Holdings, LLC",Wisdom Cout LLC DBA American Craftsmen,2263,3/30/2026,3/30/2026,Mar-26,Bill,Infrastructure : Residential Improvements - Infra,12043.6,12043.6,Paid In Full,,4/14/2026
"Nexus Apex Holdings, LLC","Orrick, Herrington & Sutcliffe LLP",2359114,3/30/2026,3/30/2026,Mar-26,Bill,Corporate : Finance,72658.81,72658.81,Paid In Full,EP loan refi & upsize,4/21/2026
"Nexus Land Holdings, LLC",ONPOINT Transactions LLC,3754,3/30/2026,3/30/2026,Mar-26,Bill,Infrastructure : Acquisition costs - Infra,9000,9000,Paid In Full,,4/14/2026
Nexus Data Centers Hubbard LLC,W.G. Yates & Sons Construction Company,5302601-01,3/30/2026,4/30/2026,Mar-26,Bill,Development : Construction : Construction Procore,8471454.51,8471454.51,Paid In Full,March Services,4/30/2026
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",1148,3/31/2026,4/30/2026,Mar-26,Bill,Infrastructure : Acquisition costs - Infra,25380,25380,Paid In Full,,4/21/2026
"Nexus Data Centers, LLC",Datamation Technologies,4789,3/31/2026,4/10/2026,Mar-26,Bill,Corporate : IT : Assets,5757.82,5757.82,Paid In Full,Hardware purchases,4/13/2026
"Nexus Data Centers, LLC",Datamation Technologies,4790,3/31/2026,4/10/2026,Mar-26,Bill,Corporate : IT : Assets,2347.94,2347.94,Paid In Full,,4/13/2026
"Nexus Data Centers, LLC",Datamation Technologies,4791,3/31/2026,4/10/2026,Mar-26,Bill,Corporate : IT : Assets,898.48,898.48,Paid In Full,,4/13/2026
"Nexus Land Holdings, LLC",Brian Stroud,818817,3/31/2026,3/31/2026,Mar-26,Bill,Infrastructure : Site Services - Infra,1393.63,1393.63,Paid In Full,,4/13/2026
"Nexus Hubbard Power, LLC",NAES Corporation,NAES-IN0000034885,3/31/2026,4/30/2026,Mar-26,Bill,Operations : O&M : O&M Procore,125.5,0,Open,,
Nexus Data Centers Hubbard LLC,Tinsley Drilling & Company Inc,170-26,4/1/2026,5/1/2026,Apr-26,Bill,Development : Construction : Construction Procore,1324160,0,Rejected,,
"Nexus Data Centers, LLC",wework,2.026E+11,4/1/2026,4/1/2026,Apr-26,Bill,Corporate : HQ / Office,10800,10800,Paid In Full,April Austin Rent,4/13/2026
"Nexus Apex Holdings, LLC",Post Oak Special Utility District,221929846 - March 2026,4/1/2026,4/16/2026,Apr-26,Bill,Development : Utilities : Utilities Gen,6955,6955,Paid In Full,March site usage,4/21/2026
"Nexus Apex Holdings, LLC",Post Oak Special Utility District,222737930 - March 2026,4/1/2026,4/16/2026,Apr-26,Bill,Development : Utilities : Utilities Gen,8675.25,8675.25,Paid In Full,,4/21/2026
"Nexus Apex Holdings, LLC",Post Oak Special Utility District,222739086 - March 2026,4/1/2026,4/16/2026,Apr-26,Bill,Development : Utilities : Utilities Gen,10145.71,10145.71,Paid In Full,,4/21/2026
"Nexus Land Holdings, LLC",Sheryl Lorraine Salley,300,4/1/2026,4/16/2026,Apr-26,Bill,Infrastructure : Site Services - Infra,7500,7500,Paid In Full,Incorrect due date on invoice,4/14/2026
"Nexus Hubbard Power, LLC",Everllence USA INC,6803569,4/1/2026,4/15/2026,Apr-26,Bill,Development : Asset Procurement : Asset Procurement Procore,12503681.11,12503681.11,Paid In Full,Equipment Supply Contract - body of contract (9/26/2025) - 13 units and change order,4/16/2026
"Nexus Data Centers, LLC",Regus Corporation,7970-1297,4/1/2026,4/15/2026,Apr-26,Bill,Corporate : HQ / Office,15310.82,0,Pending Approval,,
"Nexus Land Holdings, LLC",Luisa V Savage,Bill # 3,4/1/2026,4/16/2026,Apr-26,Bill,Infrastructure : Site Services - Infra,1310.9,1310.9,Paid In Full,March accrual,5/4/2026
"Nexus Land Holdings, LLC",TXU Energy (AutoPay),040226-1,4/2/2026,4/2/2026,Apr-26,Bill,Infrastructure : Utilities - Infra,1304.98,1304.98,Paid In Full,TXU April Payments,4/2/2026
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",163613,4/2/2026,5/6/2026,Apr-26,Bill,Development : Engineering : Engineering Procore,79788.19,79788.19,Paid In Full,,5/11/2026
"Nexus Data Centers, LLC",Duvera Consulting LLC,260303,4/3/2026,4/18/2026,Apr-26,Bill,Corporate : Workforce,29000,29000,Paid In Full,,5/4/2026
"Nexus Land Holdings, LLC",David Kaddatz,#INV-000154,4/4/2026,4/6/2026,Apr-26,Bill,Infrastructure : Residential Improvements - Infra,17584,17584,Paid In Full,HUB21 Hill reno final payment,4/15/2026
"Nexus Apex Holdings, LLC",AFCO Credit Corporation,1180688,4/4/2026,4/23/2026,Apr-26,Bill,Corporate : Finance,4763888.04,4763888.04,Paid In Full,,4/27/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,25589,4/4/2026,5/4/2026,Apr-26,Bill,Development : Asset Procurement : Asset Procurement Procore,4907089.59,4907089.59,Paid In Full,Long Lead UPS,4/7/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,25590,4/4/2026,5/4/2026,Apr-26,Bill,Development : Asset Procurement : Asset Procurement Procore,2970923.17,2970923.17,Paid In Full,LV Switchboards DH 1-4,4/7/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,25591,4/4/2026,5/4/2026,Apr-26,Bill,Development : Asset Procurement : Asset Procurement Procore,831433.24,831433.24,Paid In Full,Long Lead Generators,4/7/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,25592,4/4/2026,5/4/2026,Apr-26,Bill,Development : Asset Procurement : Asset Procurement Procore,3989888.95,3989888.95,Paid In Full,Busway & Plugs,4/7/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,25593,4/4/2026,5/4/2026,Apr-26,Bill,Development : Asset Procurement : Asset Procurement Procore,9533524.5,9533524.5,Paid In Full,Busway ATS,4/7/2026
"Nexus Data Centers, LLC",Datasite LLC,INV-916100,4/5/2026,5/5/2026,Apr-26,Bill,Corporate : Finance,38639.4,38639.4,Paid In Full,March services,5/4/2026
"Nexus Data Centers, LLC","Oracle America, Inc.",2450398,4/6/2026,5/6/2026,Apr-26,Bill,Corporate : IT : Services / License,14913.33,14913.33,Paid In Full,,5/26/2026
"Nexus Hubbard Power, LLC",Source Blue LLC,SBL-2026-001,4/6/2026,4/6/2026,Apr-26,Bill,Development : Asset Procurement : Asset Procurement Procore,30773859.1,30773859.1,Paid In Full,,4/29/2026
"Nexus Land Holdings, LLC",Frontier Waste Solutions,40726,4/7/2026,4/7/2026,Apr-26,Bill,Infrastructure : Utilities - Infra,69.62,69.62,Paid In Full,Frontier April Payments,4/7/2026
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",163842,4/7/2026,6/18/2026,Apr-26,Bill,Development : Engineering : Engineering Procore,24105.25,0,Open,"March 14, 2026 to March 27, 2026",
"Nexus Land Holdings, LLC",CT Hydroflo LLC,3287,4/7/2026,4/7/2026,Apr-26,Bill,Infrastructure : Utilities - Infra,140,140,Paid In Full,,4/15/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,25638,4/8/2026,5/8/2026,Apr-26,Bill,Development : Asset Procurement : Asset Procurement Procore,14854615.84,14854615.84,Paid In Full,LV Switchboards DH 1-4,4/17/2026
"Nexus Data Centers, LLC",Arcus Advisors LLC,3319,4/8/2026,4/8/2026,Apr-26,Bill,Corporate : Accounting,41655,41655,Paid In Full,Consulting General and ERP Late March and April Services,5/4/2026
"Nexus Land Holdings, LLC",Post Oak Special Utility District,344,4/8/2026,4/8/2026,Apr-26,Bill,Infrastructure : Utilities - Infra,3167.61,3167.61,Paid In Full,April meter services,4/21/2026
"Nexus Data Centers, LLC","SL2 Bowen Domain, LP - THE BOWEN",4826-0167,4/8/2026,4/8/2026,Apr-26,Bill,Corporate : Workforce,1800,1800,Paid In Full,,4/10/2026
"Nexus Apex Holdings, LLC",Tinsley Drilling & Company Inc,G702 - April Invoice,4/8/2026,5/8/2026,Apr-26,Bill,Development : Construction : Construction Procore,1324600,1324600,Paid In Full,Drilling Well,5/4/2026
Nexus Data Centers Hubbard LLC,"CorePhase, LLC",2025-NEX-001-004,4/9/2026,4/25/2026,Apr-26,Bill,Development : Project Management : Project Management Procore,386136.55,386136.55,Paid In Full,March accrual,5/4/2026
"Nexus Hubbard Power, LLC","Industrial Project Innovation, LLC",Nexus-008,4/9/2026,5/9/2026,Apr-26,Bill,Development : Project Management : Project Management Procore,728359.87,728359.87,Paid In Full,March 2026 - Integration Support,5/11/2026
"Nexus Land Holdings, LLC",Champion Energy Services,4102026,4/10/2026,4/25/2026,Apr-26,Bill,Infrastructure : Utilities - Infra,97.3,97.3,Paid In Full,Champion April Payment,4/10/2026
"Nexus Apex Holdings, LLC",EquipmentShare.com Inc,6761723-000,4/10/2026,5/10/2026,Apr-26,Bill,Development : Asset Procurement : Asset Procurement Procore,2072954.95,2072954.95,Paid In Full,50% down payment for IPMT and  Contractor Trailer Purchases,4/23/2026
"Nexus Land Holdings, LLC",Brian Stroud,818818,4/10/2026,4/25/2026,Apr-26,Bill,Infrastructure : Site Services - Infra,450,450,Paid In Full,,5/4/2026
"Nexus Data Centers, LLC",Taylor Duma LLP,941364,4/11/2026,4/26/2026,Apr-26,Bill,Corporate : Workforce,74.13,74.13,Paid In Full,,5/4/2026
"Nexus Land Holdings, LLC",Luisa V Savage,Re-Issue #1 & #2,4/12/2026,4/30/2026,Apr-26,Bill,Infrastructure : Site Services - Infra,489.88,489.88,Paid In Full,SUT true up,5/4/2026
"Nexus Data Centers, LLC","May Business Co, LLC",02-1003,4/13/2026,4/30/2026,Apr-26,Bill,Corporate : Workforce,3500,3500,Paid In Full,April Services,5/4/2026
"Nexus Data Centers, LLC",Abdellah Kettani,4132026,4/13/2026,4/13/2026,Apr-26,Bill,Corporate : Corporate,1040,1040,Paid In Full,Town Car Services,4/13/2026
"Nexus Land Holdings, LLC","1212 Property Services, LLC",1002,4/13/2026,4/28/2026,Apr-26,Bill,Infrastructure : Site Services - Infra,3700,3700,Paid In Full,April Services,5/4/2026
"Nexus Data Centers, LLC",Butler Snow LLP,10522848,4/13/2026,4/13/2026,Apr-26,Bill,Corporate : Legal,415,415,Paid In Full,March accrual,5/4/2026
"Nexus Data Centers, LLC",Arcus Advisors LLC,3331,4/13/2026,4/13/2026,Apr-26,Bill,Corporate : Accounting,7082.5,7082.5,Paid In Full,Jan services,5/4/2026
"Nexus Data Centers, LLC",Kirkland & Ellis LLP,1020038202,4/14/2026,4/14/2026,Apr-26,Bill,Corporate : Legal,24384.28,24384.28,Paid In Full,March services,5/4/2026
Nexus Data Centers Hubbard LLC,"Bluebeam, Inc.",2794546,4/14/2026,5/14/2026,Apr-26,Bill,Corporate : IT : Services / License,820.82,820.82,Paid In Full,Software Licenses Ivan/Sam,5/15/2026
"Nexus Data Centers, LLC",Holland & Knight LLP,33920876,4/14/2026,4/14/2026,Apr-26,Bill,Corporate : Legal,780,780,Paid In Full,,5/4/2026
"Nexus Land Holdings, LLC","Beckman and Associates, Consultants Inc.",369,4/14/2026,4/14/2026,Apr-26,Bill,Infrastructure : Legal - Infra,14500,14500,Paid In Full,,5/4/2026
"Nexus Hubbard Power, LLC",Honeywell International Inc.,5272680557,4/14/2026,5/14/2026,Apr-26,Bill,Development : Asset Procurement : Asset Procurement Procore,30306988.71,30306988.71,Paid In Full,Battery Energy Storage System 235MW/471MWh,5/14/2026
"Nexus Apex Holdings, LLC","Terracon Consultants, Inc.",TQ44628,4/14/2026,5/14/2026,Apr-26,Bill,Development : Engineering : Engineering Procore,185449,185449,Paid In Full,Services Through February (invoice date in NS = Procore submission),5/27/2026
"Nexus Apex Holdings, LLC","Terracon Consultants, Inc.",TQ57918,4/14/2026,5/14/2026,Apr-26,Bill,Development : Engineering : Engineering Procore,39834,39834,Paid In Full,Jan Service - SOW # 1 - Earth & Geotechnical work,5/27/2026
"Nexus Land Holdings, LLC",City of Hubbard,4152026,4/15/2026,4/15/2026,Apr-26,Bill,Infrastructure : Utilities - Infra,349.92,349.92,Paid In Full,City of Hubbard April,4/15/2026
"Nexus Data Centers, LLC",DocuSign,1.11101E+11,4/15/2026,5/15/2026,Apr-26,Bill,Corporate : IT : Services / License,12626.74,12626.74,Paid In Full,Prepaid subscription - 14-Apr-26 to 13- Apr-27,5/15/2026
"Nexus Data Centers, LLC",Datamation Technologies,4793,4/15/2026,4/28/2026,Apr-26,Bill,Corporate : IT : Services / License,21276.07,21276.07,Paid In Full,Hardware purchases,5/4/2026
"Nexus Data Centers, LLC",Datamation Technologies,4794,4/15/2026,4/28/2026,Apr-26,Bill,Corporate : IT : Assets,6565.36,6565.36,Paid In Full,Hardware purchases,5/4/2026
"Nexus Data Centers, LLC",Datamation Technologies,4795,4/15/2026,5/7/2026,Apr-26,Bill,Corporate : IT : Assets,3846.12,3846.12,Paid In Full,Hardware purchases,5/15/2026
"Nexus Hubbard Power, LLC",Everllence USA INC,6803582,4/15/2026,4/29/2026,Apr-26,Bill,Development : Asset Procurement : Asset Procurement Procore,4780486.63,4780486.63,Paid In Full,Equipment Supply Contract  5306425- body of contract (9/26/2025) - 13 units and change order,5/1/2026
"Nexus Data Centers, LLC",Marsh USA LLC,8.01028E+11,4/15/2026,,Apr-26,Bill,Operations : Insurance,21258,0,Open,,
"Nexus Data Centers, LLC",Simplify Compliance LLC (datacenterHawk),93715,4/15/2026,5/15/2026,Apr-26,Bill,Corporate : IT : Services / License,39175.5,39175.5,Paid In Full,Annual License - 05/26 - 04/27,5/19/2026
"Nexus Land Holdings, LLC",Navasota Valley Electric (Auto Pay),4162026,4/16/2026,4/16/2026,Apr-26,Bill,Infrastructure : Utilities - Infra,471.82,471.82,Paid In Full,Navasota Valley April Payments,4/16/2026
"Nexus Land Holdings, LLC",TXU Energy (AutoPay),041626-1,4/16/2026,4/16/2026,Apr-26,Bill,Infrastructure : Utilities - Infra,16.79,16.79,Paid In Full,TXU April Payments,4/16/2026
"Nexus Land Holdings, LLC",Luisa V Savage,Bill #4,4/16/2026,4/30/2026,Apr-26,Bill,Infrastructure : Site Services - Infra,880.88,880.88,Paid In Full,April Services,5/4/2026
"Nexus Land Holdings, LLC",Frontier Waste Solutions,41726,4/17/2026,4/17/2026,Apr-26,Bill,Infrastructure : Utilities - Infra,374.78,374.78,Paid In Full,Frontier April Payments,4/17/2026
"Nexus Land Holdings, LLC",ROCKIN' B SURVEY,2026-214,4/17/2026,4/17/2026,Apr-26,Bill,Infrastructure : Acquisition costs - Infra,2294.9,2294.9,Paid In Full,,5/4/2026
"Nexus Data Centers, LLC",Marsh USA LLC,8.01022E+11,4/17/2026,4/17/2026,Apr-26,Bill,Operations : Insurance,2192.21,2192.21,Paid In Full,Period is 4/9/26 to 4/9/27 below prepaid limit,5/11/2026
"Nexus Land Holdings, LLC",Brian Stroud,818819,4/17/2026,5/2/2026,Apr-26,Bill,Infrastructure : Site Services - Infra,1916.57,1916.57,Paid In Full,,5/4/2026
"Nexus Data Centers, LLC",Business Branders LLC,9927,4/17/2026,5/17/2026,Apr-26,Bill,Corporate : Marketing / Branding,2682.93,2682.93,Paid In Full,,5/4/2026
"Nexus Land Holdings, LLC",Frontier Waste Solutions,4212026,4/21/2026,4/21/2026,Apr-26,Bill,Infrastructure : Utilities - Infra,416.71,416.71,Paid In Full,Frontier April Payments,4/21/2026
"Nexus Land Holdings, LLC",Wisdom Cout LLC DBA American Craftsmen,2281,4/21/2026,4/21/2026,Apr-26,Bill,Infrastructure : Residential Improvements - Infra,3964.79,3964.79,Paid In Full,,5/4/2026
"Nexus Land Holdings, LLC",Wisdom Cout LLC DBA American Craftsmen,2286,4/21/2026,4/21/2026,Apr-26,Bill,Infrastructure : Residential Improvements - Infra,8382.74,8382.74,Paid In Full,,5/4/2026
"Nexus Land Holdings, LLC",Wisdom Cout LLC DBA American Craftsmen,2298,4/21/2026,4/21/2026,Apr-26,Bill,Infrastructure : Residential Improvements - Infra,8551.99,8551.99,Paid In Full,,5/4/2026
Nexus Data Centers Hubbard LLC,EUTAW Construction Company Inc.,26011-03-REV1,4/21/2026,5/21/2026,Apr-26,Bill,Development : Construction : Construction Procore,15928200.13,15928200.13,Paid In Full,For Work completed Through 3/31/26 (invoice date = Procore submission date),5/22/2026
"Nexus Land Holdings, LLC","Roger A. Soape, Inc.",4781,4/21/2026,4/21/2026,Apr-26,Bill,Infrastructure : Legal - Infra,19780.07,19780.07,Paid In Full,February Service,5/4/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,25793,4/22/2026,5/22/2026,Apr-26,Bill,Development : Asset Procurement : Asset Procurement Procore,4194549,4194549,Paid In Full,UPS units -  30% Pmt for commencement of physical fabrication,5/22/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,25800,4/22/2026,5/22/2026,Apr-26,Bill,Development : Asset Procurement : Asset Procurement Procore,172386.52,172386.52,Paid In Full,Additional ATS,4/29/2026
"Nexus Data Centers, LLC",Arcus Advisors LLC,3339,4/22/2026,4/22/2026,Apr-26,Bill,Corporate : Accounting,51390,51390,Paid In Full,Consulting General and ERP - April Services,5/4/2026
"Nexus Data Centers, LLC","PA Consulting Group, Inc.",10860,4/23/2026,4/23/2026,Apr-26,Bill,Corporate : Finance,75000,75000,Paid In Full,Downpayment,5/11/2026
"Nexus Data Centers, LLC",Liberty Mutual Insurance Company,4202600,4/23/2026,4/23/2026,Apr-26,Bill,Corporate : Legal,2014794,2014794,Paid In Full,,4/24/2026
"Nexus Data Centers, LLC","Michael Hoops, Attorney at Law, PLLC",9,4/26/2026,5/26/2026,Apr-26,Bill,Corporate : Legal,2058.73,2058.73,Paid In Full,,5/26/2026
"Nexus Land Holdings, LLC",Serna Serrvices,#18510,4/27/2026,5/1/2026,Apr-26,Bill,Infrastructure : Site Services - Infra,3034.29,3034.29,Paid In Full,,5/11/2026
"Nexus Apex Holdings, LLC",Promoveo Group LLC,330,4/27/2026,,Apr-26,Bill,Development : Consulting : Consulting Gen,89150,89150,Paid In Full,April services,5/15/2026
"Nexus Data Centers, LLC",PwC US Tax LLP,208A 162646,4/27/2026,5/27/2026,Apr-26,Bill,Corporate : Accounting,10000,10000,Paid In Full,Feb Professional Fees and Expenses,5/15/2026
"Nexus Data Centers, LLC","Ultera, llc",461,4/27/2026,5/12/2026,Apr-26,Bill,Corporate : Workforce,50000,50000,Paid In Full,Recruiting fees for start-up staffing,5/15/2026
"Nexus Data Centers, LLC","Ultera, llc",462,4/27/2026,5/12/2026,Apr-26,Bill,Corporate : Workforce,24000,24000,Paid In Full,Recruiting fees for start-up staffing,5/15/2026
"Nexus Data Centers, LLC","Ultera, llc",463,4/27/2026,5/12/2026,Apr-26,Bill,Corporate : Workforce,24000,24000,Paid In Full,Recruiting fees for start-up staffing,5/15/2026
"Nexus Land Holdings, LLC",Brian Stroud,818821,4/27/2026,5/12/2026,Apr-26,Bill,Infrastructure : Site Services - Infra,10624.27,10624.27,Paid In Full,,5/15/2026
"Nexus Land Holdings, LLC","AirGas USA, LLC",9171441159,4/27/2026,5/27/2026,Apr-26,Bill,Infrastructure : Site Services - Infra,116.05,116.05,Paid In Full,,5/27/2026
"Nexus Data Centers, LLC",ETAP,0097748-IN,4/28/2026,5/28/2026,Apr-26,Bill,Corporate : IT : Services / License,48307.65,48307.65,Paid In Full,ETAP Subscription  from 05/01/26 to 05/01/27,5/28/2026
"Nexus Data Centers, LLC",Marcela M Resenos,1,4/28/2026,5/15/2026,Apr-26,Bill,Corporate : Workforce,13500,13500,Paid In Full,April services,5/15/2026
"Nexus Land Holdings, LLC",Post Oak Special Utility District,121HCR3379,4/28/2026,5/16/2026,Apr-26,Bill,Infrastructure : Utilities - Infra,340.26,340.26,Paid In Full,,5/15/2026
"Nexus Land Holdings, LLC",City of Hubbard,17523462-CH-042826,4/28/2026,5/15/2026,Apr-26,Bill,Infrastructure : Utilities - Infra,64.01,64.01,Paid In Full,3/22/26 - 4/21/26,5/15/2026
"Nexus Land Holdings, LLC",City of Hubbard,17524121-CH-042826,4/28/2026,5/15/2026,Apr-26,Bill,Infrastructure : Utilities - Infra,220.26,220.26,Paid In Full,3/22/26 - 4/21/26,5/15/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,25858,4/28/2026,5/28/2026,Apr-26,Bill,Development : Asset Procurement : Asset Procurement Procore,4907089.59,4907089.59,Paid In Full,Progress payment,5/28/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,25860,4/28/2026,5/28/2026,Apr-26,Bill,Development : Asset Procurement : Asset Procurement Procore,11720400,11720400,Paid In Full,"Progress payment-April invoice, received in May",5/28/2026
"Nexus Apex Holdings, LLC","Terracon Consultants, Inc.",TQ68264,4/28/2026,5/28/2026,Apr-26,Bill,Development : Engineering : Engineering Procore,9995,9995,Paid In Full,Feb Services SOW # 1 - Earth & Geotechnical work,5/27/2026
"Nexus Land Holdings, LLC",Love and Thunder Apiary LLC,#000006,4/29/2026,4/29/2026,Apr-26,Bill,Infrastructure : Site Services - Infra,5118.1,5118.1,Paid In Full,,5/15/2026
"Nexus Apex Holdings, LLC","EXP Energy Services, Inc.",3202610,4/29/2026,5/29/2026,Apr-26,Bill,Development : Regulatory : Regulatory Procore,2040.5,2040.5,Paid In Full,"February 28, 2026 - March 27, 2026",5/29/2026
"Nexus Apex Holdings, LLC",EquipmentShare.com Inc,INV-189392,4/29/2026,5/29/2026,Apr-26,Bill,Development : Asset Procurement : Asset Procurement Procore,143851.39,143851.39,Paid In Full,Services 2/12/26 - 4/14/26,5/29/2026
"Nexus Data Centers, LLC",Marsh USA LLC,1.12854E+11,4/30/2026,7/31/2026,Apr-26,Bill,Operations : Insurance,5301500,0,Pending Approval,OPPI Insurance second installment,
"Nexus Data Centers, LLC",Marsh USA LLC,1.12858E+11,4/30/2026,12/1/2026,Apr-26,Bill,Operations : Insurance,1677500,0,Pending Approval,OPPI Third Installment,
"Nexus Apex Holdings, LLC",Marsh USA LLC,1.1286E+11,4/30/2026,6/8/2026,Apr-26,Bill,Operations : Insurance,1391746.45,1391746.45,Paid In Full,OPPI 1st Installment,6/10/2026
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",1153,4/30/2026,5/30/2026,Apr-26,Bill,Infrastructure : Legal - Infra,31905,31905,Paid In Full,April services,5/29/2026
"Nexus Data Centers, LLC","Trapp Law Firm, PC",1155,4/30/2026,5/30/2026,Apr-26,Bill,Infrastructure : Legal - Infra,10620,10620,Paid In Full,Bastion Land Legal,5/28/2026
Nexus Bastion Holdings LLC,"Trapp Law Firm, PC",1155NA,4/30/2026,5/30/2026,Apr-26,Bill,Infrastructure : Legal - Infra,10620,0,Rejected,April services,
"Nexus Land Holdings, LLC",Post Oak Special Utility District,153HCR3371,4/30/2026,5/16/2026,Apr-26,Bill,Infrastructure : Utilities - Infra,2033.46,2033.46,Paid In Full,,5/15/2026
"Nexus Data Centers, LLC",PwC US Tax LLP,208A 170871,4/30/2026,5/30/2026,Apr-26,Bill,Corporate : Accounting,54830,54830,Paid In Full,March Professional Fees and Expenses,5/28/2026
